,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,59,management,married,basic.4y,no,yes,no,cellular,jul,thu,131,2,803,1,failure,-1.8470156256831904,93.74571644168104,-38.92705013427331,0.7541579986916861,5005.286336263246,no
1,31,retired,single,unknown,unknown,yes,no,cellular,sep,thu,236,1,176,1,nonexistent,-1.1000000000017343,95.29245905759097,-51.77631969257681,1.0328831698743728,4937.510320857863,yes
2,40,technician,married,unknown,no,no,no,cellular,may,thu,119,2,388,0,failure,-2.298427823518251,93.55559149769063,-36.690548402073375,0.6765137984213168,5012.8063785045115,no
3,23,technician,unknown,high.school,no,no,no,cellular,jul,tue,291,1,263,1,nonexistent,-1.121355823421848,94.13925020943726,-36.96617202241254,0.7230156789377564,4982.975548766739,yes
4,34,admin.,single,university.degree,no,no,no,cellular,nov,thu,464,4,262,3,failure,-1.102507495475702,94.90796661035343,-51.647898497454435,1.0036467508893812,4962.935668706171,yes
5,41,admin.,unknown,university.degree,no,yes,no,cellular,nov,thu,47,1,949,1,nonexistent,-3.395564936860574,92.19798907191382,-24.356862751859268,0.674920503729364,5037.964243885704,no
6,unknown,housemaid,unknown,high.school,no,no,no,cellular,nov,thu,370,1,947,2,failure,-1.1039299445354502,93.78751919286343,-40.154430462318054,0.8533703097799434,4978.118925271493,yes
7,35,housemaid,unknown,high.school,no,unknown,no,cellular,jul,wed,224,4,1166,0,nonexistent,-1.5422931974857348,93.93683804111289,-36.465024608175696,0.6474021701616565,5002.344075078492,yes
8,28,admin.,divorced,unknown,no,no,no,cellular,nov,tue,126,0,1441,-1,nonexistent,-2.381287070332966,93.55164606742662,-36.87518973106408,0.8699236059357174,4988.2873571468335,yes
9,38,admin.,unknown,unknown,no,unknown,no,cellular,sep,tue,1583,2,362,2,failure,-1.1000096841191218,94.98924998830988,-44.18864413125544,0.879238889180721,4955.134417194013,yes
10,43,self-employed,unknown,unknown,no,unknown,no,cellular,may,tue,858,2,959,0,failure,-3.243630411452805,92.91480348322649,-33.01825533869823,0.6467249336462263,5028.868352476975,yes
11,52,self-employed,married,unknown,no,yes,no,cellular,may,tue,281,4,451,-1,nonexistent,-2.851199798273171,92.7003493558331,-31.694227870090632,0.7147797667747925,5015.331396384798,yes
12,95,unemployed,married,professional.course,no,yes,no,cellular,may,wed,234,2,537,2,nonexistent,-1.2151250506487012,93.83991390200778,-39.165357504610505,0.7084680416730831,4990.906563245625,yes
13,37,retired,unknown,university.degree,no,yes,no,cellular,may,tue,429,3,289,1,nonexistent,-1.1000364122466273,94.85442112750722,-49.04197655037806,0.8570053952697605,4969.523977292455,yes
14,32,technician,single,unknown,no,unknown,no,cellular,aug,wed,38,2,1074,0,nonexistent,-1.3533451130373955,94.54430492106516,-43.469396793814184,0.8817403322706273,4983.651127811921,no
15,39,retired,single,unknown,no,no,no,cellular,aug,mon,186,5,869,1,nonexistent,-3.03342069548866,92.67424401752142,-27.6210863989441,0.6752566697299006,5030.959090616883,yes
