,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,60,housemaid,married,basic.4y,no,yes,0,cellular,sep,thu,172,1,652,3,failure,-1.7530939347648042,93.26472661602587,-30.085700559197612,0.6563796441525794,5000.25146442773,no
1,72,admin.,married,high.school,no,yes,0,cellular,aug,wed,1273,1,239,3,failure,-1.4024792585212815,94.37912564599664,-40.66037931847325,0.8392246465694132,4985.212590950574,yes
2,64,admin.,single,high.school,no,no,0,cellular,jul,wed,572,3,837,0,nonexistent,-2.2513770320039663,93.32088405079095,-35.919115123533174,0.9979091704114244,4998.9363914418955,yes
3,51,admin.,divorced,university.degree,no,yes,0,cellular,nov,mon,243,1,765,1,nonexistent,-1.1862209541440354,93.46543036251477,-36.40259518782311,0.9047928005802004,4988.187789734506,no
4,36,technician,married,professional.course,no,no,0,cellular,nov,mon,601,2,583,1,nonexistent,-1.1652604741753874,94.46219330199068,-49.781138835524885,0.9947587943824232,4985.959915904168,no
5,31,student,married,basic.4y,no,yes,0,cellular,aug,thu,358,1,548,1,failure,-2.944428376131378,92.85235245748731,-27.010679394928623,0.7089540058007406,5012.454530108194,no
6,33,technician,divorced,university.degree,no,yes,0,cellular,sep,tue,60,-1,-84,2,failure,-1.1305438664599943,94.28211604672859,-39.71783970928945,0.7952865552790364,4971.955617493067,yes
7,30,unknown,married,university.degree,no,no,0,cellular,sep,mon,50,3,412,1,nonexistent,-1.1108742867175954,94.3282213325037,-40.6386188108237,0.8956172955109759,4978.819715499376,no
8,51,management,single,high.school,no,yes,0,cellular,jun,tue,283,1,1311,1,failure,-2.1150886780285707,93.10596837784243,-31.132451646461618,0.6522110152884636,5016.304393088913,yes
9,26,technician,divorced,university.degree,no,yes,0,cellular,aug,tue,275,2,955,-1,nonexistent,-1.1050253807719947,94.78908923468802,-41.29501821721334,0.8179685521300559,4964.293676110216,yes
10,53,retired,single,unknown,no,no,0,cellular,jun,fri,102,2,730,0,nonexistent,-1.4951191358713547,93.39282688058587,-38.157362491856055,0.6442823847288234,5010.540088153931,yes
11,25,admin.,married,university.degree,no,no,0,cellular,aug,mon,614,2,45,2,success,-1.100034422954824,94.89526564419417,-49.320060248954384,1.0256208341552417,4953.158858014197,yes
12,39,retired,married,basic.4y,no,no,0,cellular,sep,thu,231,1,685,1,nonexistent,-2.6290172482633514,93.40026239457528,-31.075175419823132,0.8496171237989524,4987.315194718416,yes
13,48,unemployed,married,basic.4y,no,no,0,cellular,sep,mon,32,1,1126,0,failure,-1.279448874290916,93.59054658098124,-31.814051293514442,0.688032787617031,4980.583038683719,no
14,44,unemployed,divorced,university.degree,no,yes,0,cellular,jul,tue,40,1,974,1,failure,-1.10966634380364,94.82874088157901,-45.33324871406965,0.9111597777053562,4977.371730308947,no
15,38,student,unknown,university.degree,no,yes,0,cellular,jul,fri,229,1,800,1,failure,-1.1308363525273162,94.25300280567961,-44.886582915381844,0.8578364710040032,4981.536798361192,yes
16,31,admin.,married,university.degree,no,yes,0,cellular,nov,wed,502,4,625,2,failure,-2.8217002264410613,93.13425479239895,-34.83128435062578,0.7250721940772298,5011.126619273771,no
17,26,technician,single,basic.4y,no,unknown,0,cellular,jul,wed,903,4,654,0,nonexistent,-1.3830789514940793,93.65286436509722,-33.52887690603503,0.6787408748393557,4999.062278591248,yes
18,36,student,divorced,university.degree,no,no,0,cellular,may,tue,65,3,806,0,nonexistent,-3.3971805666304777,91.77166659753136,-21.807940850711077,0.6364402313315415,5059.676236513402,no
19,51,technician,married,university.degree,no,no,0,cellular,nov,wed,391,4,1091,0,nonexistent,-3.2821772592301417,92.62753717359824,-30.034000571451934,0.6809804987956655,5021.030251595933,yes
20,64,admin.,married,university.degree,no,yes,1,cellular,jul,thu,58,1,1145,1,failure,-3.2569233228953345,93.54517285862079,-33.72752093168391,0.7373904083866842,5012.749375614559,no
21,37,blue-collar,married,basic.4y,no,yes,0,cellular,jul,tue,221,2,1339,0,nonexistent,-1.5848920902143946,93.41130870014032,-32.373574754383796,0.7152218890504642,4995.366310046163,yes
